Date,Type,Category,Account,Description,Amount
2026-12-04,Expense,ayyappa,HDFC,paranjee,26000.0
2026-12-04,Expense,Other,HDFC,mango,600.0
2026-12-04,Expense,Other,Union,ccbill,2499.0
2026-12-04,Expense,Other,Abank,ccbill,5429.0
2026-12-03,Expense,Other,nCChdfc,petrol,1050.0
2026-12-03,Expense,Other,HDFC,fittings,8200.0
2026-12-03,Expense,Other,HDFC,tiles,2400.0
2026-12-03,Expense,Other,HDFC,mancham,10000.0
2026-12-03,Expense,Other,HDFC,jaali,60.0
2026-12-03,Expense,Other,HDFC,food,240.0
2026-12-03,Expense,padmaji,cash,tiles,1200.0
2026-12-03,Expense,Other,SBIcc,food,245.0
2026-12-02,Income,Other,ICICIcc,bill,5232.0
2026-12-02,Expense,Other,HDFC,cement,18400.0
2026-12-02,Expense,Other,Union,ccbill,2619.0
2026-12-02,Expense,Other,HDFC,plumbing,180.0
2026-12-02,Expense,Other,HDFC,battery,50.0
2026-12-02,Expense,Other,SBIcc,food,70.0
2026-12-02,Expense,Other,Abank,ccbill,5309.0
2026-12-02,Expense,raju,cash,watering,700.0
2026-12-01,Expense,Other,Union,ccbill,2678.0
2026-12-01,Expense,Other,HDFC,gold loan,500.0
2026-12-01,Expense,Other,HDFC,transfer,200.0
2026-12-01,Income,Other,ICICIcc,bill,8013.0
2026-12-01,Expense,Other,Abank,ccbill,5250.0
2026-12-01,Expense,Other,SBIcc,insurance,1296.0
2026-11-04,Expense,Other,HDFC,ccbill,5385.0
2026-11-03,Expense,gangadhar,HDFC,paint,4000.0
2026-11-03,Expense,Other,cash,jaya aunty,1500.0
2026-11-03,Expense,yesu,HDFC,granite,7000.0
2026-11-03,Expense,Other,HDFC,paint,920.0
2026-11-03,Expense,Other,HDFC,kankara,5200.0
2026-11-03,Expense,karuna,cash,cleaning,700.0
2026-11-03,Income,Other,cash,loan,11000.0
2026-11-03,Expense,Other,cash,maintenance,1200.0
2026-11-03,Expense,Other,cash,maintenance,1200.0
2026-11-03,Expense,Other,cash,misc,1050.0
2026-11-02,Expense,Other,HDFC,transfer,2000.0
2026-11-02,Expense,Other,nCChdfc,petrol,1500.0
2026-11-02,Expense,Other,SBIcc,petrol,1002.0
2026-11-02,Income,Other,SBIcc,cb,10.0
2026-11-02,Expense,Other,HDFC,food,120.0
2026-11-02,Expense,Other,HDFC,medicines,120.0
2026-11-01,Expense,Other,SBIcc,aditya,535.0
2026-11-01,Expense,Other,SBIcc,vegetables,160.0
2026-11-01,Expense,Other,iAxis,movie,993.0
2026-11-01,Expense,Other,HDFC,bricks,37200.0
2026-10-04,Expense,Other,HDFC,coconuts,150.0
2026-10-04,Expense,Other,HDFC,kirana,1050.0
2026-10-04,Expense,Other,nCChdfc,kirana,60.0
2026-10-04,Expense,Other,CChdfc,amazon,2789.0
2026-10-03,Income,Other,SBIcc,bill,10490.0
2026-10-03,Expense,Other,HDFC,ccbill,5543.0
2026-10-03,Expense,Other,HDFC,grout,80.0
2026-10-03,Expense,Other,HDFC,electrical,500.0
2026-10-03,Expense,Other,HDFC,dhana,630.0
2026-10-03,Expense,Other,SBIcc,kirana,80.0
2026-10-02,Expense,Other,SBIcc,fish,1900.0
2026-10-02,Expense,Other,SBIcc,kirana,605.0
2026-10-02,Income,Other,SBIcc,bill,7061.0
2026-10-02,Expense,Other,HDFC,tailor,1770.0
2026-10-02,Expense,Other,HDFC,petrol,110.0
2026-10-02,Expense,Other,HDFC,ccbill,60258.0
2026-10-02,Expense,Other,cloan,credloan,378128.0
2026-10-02,Expense,Other,cash,misc,1300.0
2026-10-02,Expense,Other,cash,maintenance,1200.0
2026-10-02,Expense,Other,cash,maintenance,1200.0
2026-10-01,Income,Other,FAxisCC,cb,20.0
